;;Coronavirus;Energie/Versorgung/Klima;Ausländer/Integration/Flüchtlinge;Renten;Soziales Gefälle;Arbeitslosigkeit;Wirtschaftslage;Politikverdruss;Gesundheitswesen, Pflege;Kosten/Löhne/Preise;Ukraine/Krieg/Russland
;21.01.2000;;6;6;8;2;59;3;44;3;2;
;18.02.2000;;5;7;6;3;54;3;51;2;1;
;17.03.2000;;5;9;6;3;66;4;28;3;2;
;14.04.2000;;6;12;9;3;67;4;21;3;2;
;19.05.2000;;8;13;7;2;67;4;10;4;2;
;23.06.2000;;10;13;17;3;58;4;6;3;3;
;28.07.2000;;4;11;21;3;55;3;11;3;2;
;25.08.2000;;6;10;14;2;52;2;7;3;2;
;22.09.2000;;4;8;12;2;38;3;6;3;7;
;20.10.2000;;5;14;11;2;46;3;6;3;5;
;17.11.2000;;5;15;19;2;44;3;7;3;3;
;15.12.2000;;4;13;14;2;46;3;6;3;4;
;19.01.2001;;4;7;12;2;37;2;8;4;1;
;16.02.2001;;5;5;13;2;40;2;11;3;1;
;16.03.2001;;5;8;8;2;46;3;7;3;1;
;06.04.2001;;11;9;12;2;44;4;7;3;2;
;18.05.2001;;7;9;17;2;55;4;7;4;7;
;22.06.2001;;6;8;9;2;55;7;9;3;7;
;20.07.2001;;7;9;12;2;61;10;8;8;5;
;24.08.2001;;6;9;7;3;73;9;7;6;4;
;14.09.2001;;3;7;3;2;53;10;7;5;3;
;12.10.2001;;2;6;4;1;50;9;5;2;1;
;16.11.2001;;3;5;4;2;47;11;11;3;1;
;14.12.2001;;1;8;5;2;62;13;8;5;2;
;11.01.2002;;2;4;4;4;71;12;7;5;4;
;18.01.2002;;3;8;5;2;78;14;7;5;4;
;08.02.2002;;2;8;4;2;75;12;9;5;7;
;22.02.2002;;4;9;3;2;75;13;8;3;5;
;08.03.2002;;3;13;7;3;77;12;8;4;4;
;22.03.2002;;4;15;4;2;69;10;16;5;4;
;12.04.2002;;2;14;5;2;71;11;10;4;8;
;26.04.2002;;2;13;5;2;71;14;9;5;6;
;10.05.2002;;2;9;4;3;70;11;6;2;6;
;31.05.2002;;2;8;3;2;60;14;10;3;9;
;14.06.2002;;4;11;4;2;63;11;11;6;3;
;28.06.2002;;3;14;5;2;69;11;9;4;4;
;12.07.2002;;3;13;6;2;77;13;7;5;2;
;26.07.2002;;3;10;4;2;75;17;11;4;2;
;09.08.2002;;2;7;4;2;79;16;11;4;2;
;16.08.2002;;8;4;5;2;81;13;8;5;3;
;23.08.2002;;7;5;2;2;72;12;7;2;2;
;30.08.2002;;8;6;3;1;78;12;5;2;2;
;06.09.2002;;11;6;4;2;79;13;5;5;2;
;13.09.2002;;6;5;4;2;85;14;5;4;1;
;18.10.2002;;3;5;5;3;77;21;7;7;2;
;15.11.2002;;3;4;14;1;74;17;10;8;3;
;13.12.2002;;2;2;9;2;71;19;16;7;4;
;24.01.2003;;1;3;4;2;67;20;9;7;4;
;07.02.2003;;2;2;5;2;76;22;12;7;3;
;21.02.2003;;0;1;2;1;67;21;10;5;2;
;14.03.2003;;1;2;3;1;76;20;7;7;3;
;28.03.2003;;1;2;5;1;68;19;10;6;2;
;11.04.2003;;1;2;6;2;73;20;7;7;2;
;02.05.2003;;1;3;13;1;75;18;12;8;2;
;16.05.2003;;1;3;8;2;76;18;8;10;3;
;06.06.2003;;2;2;14;2;72;17;7;9;3;
;27.06.2003;;2;3;9;2;74;19;9;15;2;
;18.07.2003;;1;3;9;2;73;18;9;10;4;
;22.08.2003;;2;3;20;3;71;15;9;15;2;
;12.09.2003;;1;2;14;1;73;16;9;14;2;
;10.10.2003;;1;2;14;3;71;14;11;13;2;
;24.10.2003;;1;2;32;2;63;15;10;10;2;
;14.11.2003;;1;3;25;2;66;14;11;11;3;
;28.11.2003;;1;2;16;2;66;18;13;10;2;
;12.12.2003;;1;2;15;2;66;16;11;15;3;
;16.01.2004;;1;2;11;3;59;14;11;31;2;
;13.02.2004;;1;2;14;3;63;12;15;21;3;
;05.03.2004;;1;3;13;2;63;15;12;17;3;
;19.03.2004;;1;5;16;3;63;14;11;14;2;
;02.04.2004;;2;5;18;3;69;14;11;12;3;
;23.04.2004;;2;4;13;3;71;19;9;14;4;
;14.05.2004;;1;4;10;2;68;19;11;9;6;
;28.05.2004;;2;6;10;3;73;17;11;10;7;
;25.06.2004;;2;4;12;3;70;17;11;10;4;
;09.07.2004;;2;4;9;2;75;16;12;12;5;
;23.07.2004;;1;3;11;3;76;14;10;13;5;
;27.08.2004;;1;2;7;3;75;15;9;10;3;
;24.09.2004;;;3;7;5;73;12;10;7;5;
;15.10.2004;;;4;5;2;74;14;11;10;3;
;29.10.2004;;;3;8;2;78;15;10;8;5;
;12.11.2004;;;3;6;3;78;15;9;7;5;
